CATEGORY	ACRONYMS	CONCEPTS
Drone Traffic Management	FAA:federal aviation administration(576);UAS:unmanned aircraft systems(480);UAVs:unmanned aerial vehicles(160);UAS:unmanned aerial systems(125);UTM:uas traffic management(118);UTM:unmanned traffic management(112);ICAO:international civil aviation organization(67);UAV:unmanned aerial vehicle(66);MOA:memorandum of agreement(58);UAS:unmanned aircraft system(54);UAS:unmanned aerial system(50);IoT:internet of things(49);ATMRI:air traffic management research institute(42);DOT:department of transportation(38);UAV:unmanned aerial vehicles(36);NAS:national airspace system(33);SIR:screening information request(31);BVLOS:beyond visual line of sight(25);UTM:uav traffic management(23);GBDAA:ground based detect and avoid(22)	traffic management(460);traffic control(428);high quality(222);air traffic control(199);site specific(197);stock multiple(196);unmanned aircraft(196);solar power(196);unmanned aircraft systems(184);rights reserved(180);lead applicant(175);federal aviation administration(173);air traffic management(152);law enforcement(149);drone operators(149);lead participant(141);united states(138);wide range(134);air traffic(132);flight plan(125)
FAA small uavs	FAA:federal aviation administration(2138);UAS:unmanned aircraft systems(707);FAA:federal aeronautics administration(616);UAVs:unmanned aerial vehicles(551);UAV:unmanned aerial vehicle(547);NTRS:nasa technical reports server(397);UAV:unmanned aerial vehicles(342);ADS:astrophysics data system(232);UAS:unmanned aerial systems(220);CFR:call for release(167);US:united states(163);NAS:national airspace system(142);UAS:unmanned aircraft system(114);UAS:unmanned aerial system(91);DOT:department of transportation(70);UAV:unmanned air vehicle(65);DoD:department of defense(41);ISS:international space station(37);COA:certificate of authorization(34);AD:airworthiness directive(34)	federal aviation administration(946);unmanned aircraft(425);federal regulations(363);nasa technical reports server(352);united states(309);small uas(293);unmanned aircraft systems(283);model aircraft(273);lightning protection(270);unmanned aerial vehicles(261);astrophysics data system(223);department of transportation(199);manned aircraft(193);small uavs(190);national airspace system(187);law enforcement(165);field test(148);image credit(136);federal register(135);air force(129)
Small Unmanned Aerial Systems	UAS:unmanned aircraft systems(1240);FAA:federal aviation administration(716);UAV:unmanned aerial vehicle(435);UAS:unmanned aerial systems(327);UAS:unmanned aircraft system(267);UAS:unmanned aerial system(222);UAV:unmanned aerial vehicles(185);UAVs:unmanned aerial vehicles(179);NAS:national airspace system(109);DoD:department of defense(53);UAS:unoccupied aircraft systems(48);DARPA:defense advanced research projects agency(43);TERN:tactically enhanced reconnaissance node(32);RPA:remotely piloted aircraft(30);WAWF:wide area workflow(28);UASs:unmanned aerial systems(28);FAR:federal acquisition regulation(26);RPAS:remotely piloted aircraft system(25);SAR:synthetic aperture radar(23);VLOS:visual line of sight(22)	amazon prime(422);unmanned aircraft(342);unmanned aircraft systems(295);small uas(272);model aircraft(181);unmanned aerial systems(164);unmanned aerial vehicles(146);federal aviation administration(138);unmanned systems(135);small unmanned aerial systems(125);unmanned aerial vehicle(123);united states(119);national airspace system(117);uav market(115);small unmanned aircraft systems(107);law enforcement(101);unmanned aircraft system(101);credit hours(98);manned aircraft(97);uas operations(96)
UAV ground control station	UAV:uninhabited aerial vehicle(2218);UAVs:uninhabited aerial vehicles(847);ADS:astrophysics data system(492);GCS:ground control station(216);NTRS:nasa technical reports server(174);UAS:unmanned aircraft systems(148);UAV:unmanned aerial vehicles(126);GCS:ground control stations(125);UAVs:unmanned aerial vehicles(118);UAV:unmanned aerial vehicle(112);GCPs:ground control points(86);GPS:global position system(86);SAR:synthetic aperture radar(72);DSM:digital surface map(64);SfM:structure from motion(60);ATC:air traffic control(59);RMS:remote manipulator system(57);GCP:ground control point(52);TLS:terrestrial laser scanning(50);US:united states(48)	astrophysics data system(478);unmanned aerial vehicles(387);unmanned aerial vehicle(368);ground control station(344);ready containment(240);ground control stations(174);ground control points(165);ground station(148);remote sensing(147);control system(139);ground control(135);nasa technical reports server(130);low cost(129);high resolution(120);ground based(118);point clouds(93);air traffic control(91);unmanned aircraft(88);usd million(76);paper presents(76)
control software	SPC:statistical process control(110);QMS:quality management system(25);SSRS:sql server reporting services(14);QA:quality assurance(10);TQM:total quality management(5);IDE:integrated development environment(4);ISPs:internet service providers(4);API:application programming interface(3);AOP:aspect oriented programming(2);EVSE:electric vehicle supply equipment(2);CPU:central processing unit(2);ICRA:internet content rating association(2);GMP:good manufacturing practices(2);GUI:graphical user interface(1);VCR:voluntary content rating(1);NACA:national animal control association(1);RDF:resource description framework(1);IaaS:infrastructure as a service(1)	privacy policy(55);rights reserved(42);free trial(24);network administrator(21);shared network(21);add ons(21);anti virus(21);paper based(20);quality standards(20);instant connectivity seamless integration scalable security(16);pest control(16);servsuite mobile(16);days ago(16);invantive producer(16);quality management(15);data sources(14);anderson darling(14);document management(13);version control(12);reporting services(12)
drone collision avoidance	ADS:astrophysics data system(265);FAA:federal aviation administration(141);UAVs:unmanned aerial vehicles(84);PSO:particle swarm optimization(73);UAS:unmanned aerial systems(67);NTRS:nasa technical reports server(48);GPS:global positioning system(42);UAV:unmanned aerial vehicle(40);AEB:automatic emergency braking(38);TI:texas instruments(32);UAS:unmanned aircraft systems(31);UAS:unmanned aircraft(23);REE:rare earth element(23);DAA:detect and avoid(21);UAV:unmanned air vehicle(18);LREE:light rare earth elements(17);EEF:equatorial electric field(17);LIP:large igneous province(15);RF:radio frequency(13);UAV:unmanned aircraft vehicles(13)	drone pilots(627);4k video(548);avoid obstacles(529);intel realsense(524);collision avoidance capability(510);extended range(501);low cost(491);privacy policy(466);drone maker(464);obstacle detection(454);ultrasonic sensors(444);flight testing(443);asctec firefly(413);mid air(412);multi copter(412);arduino mega(410);sensing technology(410);spot obstacles(409);dji phantom(316);mavic pro(272)
drone coordination	FPV:first person view(630);FAA:federal aviation administration(468);RTF:ready to fly(398);RTH:return to home(243);UAVs:unmanned aerial vehicles(194);GPS:global positioning system(190);UAS:unmanned aircraft systems(146);UAS:unmanned aircraft system(108);UAV:unmanned aerial vehicle(106);UAS:unmanned aerial systems(82);FATA:federally administered tribal areas(54);UAS:unmanned aerial system(50);CIA:central intelligence agency(30);JSOC:joint special operations command(30);UTM:uas traffic management(26);EASA:european aviation safety agency(21);UAS:unmanned aviation systems(19);RPAS:remotely piloted aircraft systems(19);UIN:unique identification number(19);UAV:unmanned aerial vehicles(19)	dji phantom(1522);remote control(1387);headless mode(1323);hd camera(1126);wi fi(1108);aerial photos(923);altitude hold function(738);bundle includes(738);united states(597);burst mode(560);ready to fly(527);high end(503);control distance(466);high speed(449);return to home(444);mavic air(439);magnesium alloy(436);720p hd camera(428);rights reserved(421);mobile device(398)
drone simulation	FAA:federal aviation administration(4512);CFI:certificated flight instructor(570);ACR:airman certification representative(570);DPE:designated pilot examiner(570);AKTR:airmen knowledge test report(190);UAV:unmanned aerial vehicles(58);AP:aerial photography(11);UAV:unmanned aerial vehicle(11);AUV:autonomous undersea vehicle(9);RC:radio control(9);LSA:light sport aircraft(7);UAS:unmanned aircraft systems(7);NAS:national airspace system(6);ESC:electronic speed controller(5);FCN:fully convolutional networks(5);MCM:mine countermeasures(5);ROS:robot operating system(5);UUV:unmanned underwater vehicle(5);BVLOS:beyond visual line of sight(5);PFS:perfect forward secrecy(4)	knowledge test(760);testing center(760);remote pilot(760);test prep(572);permanent remote pilot certificate(380);tool online(380);test center(380);temporary certificate(380);pre flight(354);flight simulator(341);federal aviation administration(229);real world(225);manned aircraft(198);national airspace system(197);small unmanned aircraft systems(192);department of transportation(192);federal regulations(191);civil aviation(191);airmen knowledge test report(190);airman certification representative(190)
drone swarm	UAVs:unmanned aerial vehicles(62);AHBs:africanized honey bees(35);FAA:federal aviation administration(27);DoD:department of defense(13);EHBs:european honey bees(11);UAV:unmanned aerial vehicle(9);RTF:ready to fly(8);AFB:american foulbrood(7);SCO:strategic capabilities office(7);UAS:unmanned aircraft systems(6);EFB:european foulbrood(5);IoT:internet of things(4);ONR:of naval research(4);JMSC:joint multinational simulation center(4);HK:hunter killer(4);IPM:integrated pest management(3);ESC:electronic speed control(3);CES:consumer electronics show(3);RFID:radio frequency identification(3);RPA:remotely piloted aircraft(3)	united states(133);honey bees(99);drone swarm(86);honey bee(65);drone pilots(60);rights reserved(56);worker bees(56);drone brood(51);drone swarms(50);personal information(46);privacy policy(45);aerial photography(41);high quality(39);small drones(38);flyguys drone pilots(36);flyguys offers(36);emergency services(36);email address(36);anti virus(33);air force(33)
dronekit python	UAV:unmanned aerial vehicle(125);RC:radio control(6);ROS:robot operating system(5);MSL:mean sea level(2);AEB:anauto exposure bracketing(2);PCA:principal component analysis(2);ROI:region of interest(2);SLAM:simultaneous localization and mapping(2);ESC:electronic speed controller(2);GUI:graphical user interface(1);TSC:technical steering committee(1);SDKs:software development kits(1);DEM:digital elevation model(1)	dronekit python(43);flight path(25);mission planner(20);cultural heritage(18);guided mode(13);open source(12);autopilot systems(10);© copyright(10);camera gimbal(10);brushed motor(10);autopilot supports(10);fixed wing(10);ground station(10);channel overrides(9);low cost(9);raspberry pi(9);droneselect january(9);dji inspire(9);source code(9);drone technology(9)
