CONTEXT	COUNT_CONTEXT	RELATION	LEFTTERM	RIGHTTERM	COUNT
drones	157	sibling	mid_range	high_end	132
drones	157	sibling	multi_rotor	fixed_wing	8
drones	157	sibling	infrastructure_inspections	disaster_prevention	2
drones	157	ancestor	4k_video	dji_inspire	2
drones	157	sibling	battery_powered	long_range	1
drones	157	sibling	MALE	HALE	1
drones	157	sibling	disease_monitoring	precision_spraying	1
drones	157	sibling	crop_scouting	disease_monitoring	1
drones	157	sibling	gopro_karma	dji_mavic_pro	1
drones	157	sibling	small_drones	model_aircraft	1
drones	157	sibling	blm_afs	DOF	1
drones	157	sibling	PUMA	insitu_scan_eagle	1
drones	157	ancestor	higher_priced	zerotech_dobby	1
drones	157	sibling	jumping_night	jumping_race	1
drones	157	sibling	dji_spark	zerotech_dobby	1
drones	157	ancestor	higher_priced	dji_spark	1
drones	157	sibling	crop_scouting	precision_spraying	1
responds	132	sibling	smartphone_app	remote_control	132
means	124	sibling	flight_battery	remote_controller	123
means	124	sibling	interview_question	oracle_fusion_middleware	1
features	72	sibling	variable_speed_control	low_battery	9
features	72	sibling	variable_speed_control	dynamic_return_home	9
features	72	sibling	geo_fencing	dynamic_return_home	9
features	72	sibling	dynamic_return_home	low_battery	9
features	72	sibling	geo_fencing	variable_speed_control	9
features	72	sibling	geo_fencing	low_battery	9
features	72	sibling	FPV	live_streaming	2
features	72	sibling	interview_question	oracle_fusion_middleware	2
features	72	sibling	auto_takeoff	auto_return_home	1
features	72	sibling	nuget_packages	kre_runtime	1
features	72	sibling	return_to_home	altitude_hold	1
features	72	sibling	waypoint_mapping	altitude_hold	1
features	72	sibling	fixed_wing	rotary_wing	1
features	72	sibling	secure_boot	ARM	1
features	72	sibling	position_hold	altitude_hold	1
features	72	sibling	position_hold	waypoint_mapping	1
features	72	sibling	return_to_home	position_hold	1
features	72	sibling	flight_control	safety_critical	1
features	72	ancestor	gps_based	altitude_hold	1
features	72	sibling	hand_gesture_recognition	APAS	1
features	72	sibling	return_to_home	waypoint_mapping	1
features	72	sibling	auto_subscribe	filtered_notifications	1
systems	49	sibling	airspace_management	air_traffic_flow_management	5
systems	49	sibling	GPS	GLONASS	3
systems	49	sibling	intelligent_flight_modes	crash_avoidance	2
systems	49	sibling	SAMs	radar_detection	2
systems	49	sibling	autonomous_cars	automatic_braking	2
systems	49	sibling	fuzzy_logic	neural_network	2
systems	49	sibling	driver_assistance	security_surveillance	2
systems	49	sibling	LDAR	LLP	1
systems	49	ancestor	small_unmanned	power_distribution	1
systems	49	sibling	GPS	glonass_satellite	1
systems	49	ancestor	thermal_imaging	FLIR	1
systems	49	sibling	power_distribution	voltage_regulation	1
systems	49	ancestor	instant_messaging	digital_conferences	1
systems	49	sibling	RF	wireless_communication	1
systems	49	sibling	visualization_software	video_wall	1
systems	49	sibling	ISTAR	UAV	1
systems	49	sibling	flight_autonomy	contextual_awareness	1
systems	49	sibling	CV	AV	1
systems	49	sibling	unmanned_aircraft	autonomous_control	1
systems	49	sibling	ECC	CRM	1
systems	49	ancestor	instant_messaging	text_messaging	1
systems	49	sibling	lithium_batteries	hybrid_propulsion	1
systems	49	sibling	mission_critical	safety_critical	1
