RELATION	LEFTTERM	RIGHTTERM	COUNT
sibling	mid_range	high_end	132
ancestor	blade_guards	safety_measures	132
sibling	smartphone_app	remote_control	132
sibling	flight_battery	remote_controller	123
sibling	interview_question	oracle_fusion_middleware	29
ancestor	development_team	social_media	29
ancestor	public_safety	disaster_response	10
sibling	variable_speed_control	low_battery	9
sibling	dynamic_return_home	low_battery	9
sibling	variable_speed_control	dynamic_return_home	9
sibling	geo_fencing	low_battery	9
sibling	geo_fencing	variable_speed_control	9
sibling	geo_fencing	dynamic_return_home	9
sibling	multi_rotor	fixed_wing	8
ancestor	drone_manufacturers	DJI	8
ancestor	flight_modes	point_of_interest	8
ancestor	payment_solutions	debit_card	7
sibling	national_security	foreign_policy	7
ancestor	asia_pacific_region	uav_traffic_management	7
sibling	law_enforcement	homeland_security	6
sibling	ground_control_stations	data_links	6
ancestor	adjusted_manually	GSD	6
sibling	remote_sensing	spatial_information	6
sibling	I2C	SPI	5
ancestor	quality_standards	ISO	5
sibling	airspace_management	air_traffic_flow_management	5
sibling	CS	SE	5
sibling	package_deliveries	search_and_rescue	5
sibling	JMS	ibm_websphere	5
ancestor	industry_leaders	DJI	4
sibling	farmland_surveys	search_and_rescue	4
ancestor	terrorist_organizations	al_qaeda	4
sibling	FAA	NASA	4
sibling	SR	TT	4
sibling	GPS	GLONASS	4
sibling	fixed_wing	rotary_wing	4
sibling	package_deliveries	farmland_surveys	4
sibling	README	TODO	4
ancestor	research_efforts	multimillion_dollar	4
sibling	USB	uart_connection	4
sibling	news_gathering	package_delivery	4
sibling	RGB	NIR	4
sibling	NASA	FAA	4
sibling	EO	IR	4
ancestor	FAA	decision_makers	4
sibling	drone_deliveries	search_and_rescue	4
sibling	collective_decision_making	adaptive_formation_flying	4
ancestor	potentially_unsafe	urban_areas	4
sibling	UAVs	general_aviation_aircraft	3
sibling	hero5_black	karma_grip	3
ancestor	HADM	UAS	3
sibling	state_department	FAA	3
sibling	MAVLink	PX4	3
sibling	humanitarian_actors	MONUSCO	3
sibling	nearby_aircraft	airspace_restrictions	3
sibling	fixed_wing	multi_rotor	3
sibling	SOA	AIA	3
ancestor	karma_drone_bundle	karma_grip	3
sibling	UAV	UAS	3
sibling	UAV	general_aviation	3
sibling	flying_robots	artificially_intelligent	3
ancestor	smart_flight_modes	auto_takeoff	3
ancestor	industry_experts	VPs	3
ancestor	national_security_concerns	chemical_facilities	3
sibling	video_compression	image_processing	3
sibling	APM	PX4	3
sibling	aviation_authorities	private_sector	3
ancestor	industry_experts	CEOs	3
sibling	fighter_aircraft	attack_helicopter	3
ancestor	commercial_applications	real_estate	3
ancestor	multiple_missions	collective_decision_making	3
sibling	CEOs	VPs	3
sibling	OSDs	telemetry_radios	3
sibling	JSON	XML	3
sibling	magnetic_fabric	rock_magnetism	3
ancestor	multiple_missions	adaptive_formation_flying	3
sibling	latest_news	upcoming_events	3
sibling	online_retail	fast_food	3
sibling	memory_usage	garbage_collection	3
ancestor	karma_drone_bundle	hero5_black	3
sibling	aerial_photography	security_patrols	3
sibling	supply_deliveries	aerial_survey	3
sibling	adaptive_formation_flying	collective_decision_making	3
sibling	fuzzy_logic	neural_network	2
sibling	PVT	master_meter	2
sibling	autonomous_flight	capture_stunning	2
ancestor	GIS	raster_analysis	2
sibling	centerstate_ceo	empire_state_development	2
sibling	bird_flocks	UAV	2
sibling	infrastructure_monitoring	precision_agriculture	2
ancestor	camera_settings	exposure_compensation	2
sibling	ERP	CRM	2
sibling	thermal_imaging	face_recognition	2
ancestor	image_analysis	SAM	2
ancestor	challenging_conditions	urban_environments	2
sibling	protected_communications	advanced_autonomy	2
sibling	intelligent_robotics	unmanned_systems	2
ancestor	improvised_threats	improvised_explosive	2
sibling	desktop_pcs	ground_station	2
ancestor	VM	garbage_collection	2
ancestor	swarm_behaviors	adaptive_formation_flying	2
ancestor	multiple_flight_modes	selfie_mode	2
ancestor	ET	energy_balance	2
ancestor	product_descriptions	contact_information	2
sibling	emergency_operations	traffic_management	2
sibling	UN	US	2
ancestor	police_departments	government_entities	2
sibling	HTML	XML	2
sibling	anomaly_detection	SAM	2
sibling	air_quality	NOx	2
sibling	underwater_photography	large_format	2
sibling	force_protection	perimeter_security	2
sibling	project_management	business_intelligence	2
sibling	cross_sections	flow_velocity	2
sibling	business_development	government_relations	2
ancestor	image_capture	point_of_interest	2
sibling	carry_weapons	DHS	2
sibling	SCL	SDA	2
ancestor	private_companies	project_wing	2
sibling	strong_technical	R&D	2
sibling	flight_tests	wind_tunnel_tests	2
ancestor	environmental_conditions	wind_speed	2
sibling	bug_tracking	project_management	2
sibling	remote_sensing	radiative_budget	2
sibling	NDVI	SAM	2
sibling	total_stations	GPS	2
sibling	crop_dusting	geological_surveying	2
sibling	network_monitoring	anomaly_detection	2
sibling	machine_learning	deep_learning	2
sibling	UAV	commercial_uav	2
sibling	irobot_corporation	CMU	2
sibling	forested_areas	narrow_paths	2
sibling	multi_spectral	hyper_spectral_imaging	2
sibling	remote_sensing	ground_truth	2
sibling	ABC	AAP	2
sibling	IMU	rtk_gps	2
sibling	ultrasonic_sensors	laser_rangefinders	2
ancestor	uav_platforms	quad_copter	2
sibling	QGroundControl	MAVLink	2
sibling	package_deliveries	infrastructure_inspections	2
sibling	blm_alaska	DOF	2
ancestor	optionally_piloted_aircraft	aurora_flight	2
sibling	public_health	environmental_protection	2
sibling	infrastructure_monitoring	search_and_rescue	2
ancestor	air_traffic_controllers	key_stakeholders	2
sibling	environment_exploration	search_and_rescue	2
ancestor	prime_air	drone_delivery	2
ancestor	local_stakeholders	national_disaster_management_organizations	2
ancestor	US	western_countries	2
sibling	intelligent_flight_modes	crash_avoidance	2
sibling	syracuse_university	centerstate_ceo	2
sibling	contract_disputes	product_liability	2
sibling	search_terms_stats	referring_urls	2
ancestor	FAA	government_entities	2
ancestor	low_bandwidth_links	hf_radio	2
ancestor	image_analysis	NDVI	2
ancestor	GIS	spatial_analysis	2
ancestor	societal_expectations	accident_avoidance	2
sibling	ISO	shutter_speed	2
sibling	crop_dusting	search_and_rescue	2
ancestor	streaming_video	signal_intelligence	2
ancestor	commercial_usage	risk_analysis	2
sibling	DOC	MDSU	2
sibling	congested_airspace	heavily_populated	2
ancestor	camera_settings	shutter_speed	2
sibling	air_carrier	airport_security	2
sibling	architectural_design	research_institute	2
ancestor	human_activity	climate_change	2
sibling	API	HTML	2
ancestor	manned_aircraft	fixed_wing_aircraft	2
sibling	mobile_devices	search_terms_stats	2
ancestor	severe_weather	lightning_flashes	2
sibling	B2B	B2C	2
sibling	UAV	RPA	2
sibling	law_enforcement	national_security	2
sibling	mobile_devices	referring_urls	2
ancestor	oil_spill	natural_resources	2
sibling	syracuse_university	nuair_alliance	2
ancestor	instant_messaging	digital_conferences	2
ancestor	centerstate_ceo	NASA	2
sibling	BBC	CNN	2
ancestor	safety_features	auto_return	2
ancestor	swarm_behaviors	collective_decision_making	2
sibling	farmland_surveys	infrastructure_inspections	2
sibling	big_data	machine_learning	2
sibling	professional_grade	DIY	2
ancestor	GDOT	inspecting_bridges	2
ancestor	4k_video	dji_inspire	2
sibling	railway_inspections	video_surveillance	2
ancestor	simplest_tasks	vehicle_tracking	2
ancestor	empire_state_development	NASA	2
sibling	fixed_wing_uavs	ground_based	2
ancestor	avionics_systems	flight_control_systems	2
ancestor	URL	internet_web_site	2
sibling	raster_analysis	spatial_analysis	2
sibling	NBTC	local_police	2
sibling	faa_rules	potential_liability	2
sibling	geological_surveying	search_and_rescue	2
sibling	RNO	MEV	2
sibling	infrastructure_inspections	disaster_prevention	2
sibling	syracuse_university	empire_state_development	2
sibling	general_aviation	air_carrier	2
sibling	border_patrol	police_departments	2
ancestor	camera_settings	ISO	2
sibling	critical_thinking	problem_solving	2
sibling	precision_agriculture	disaster_relief	2
sibling	model_airplane	UAV	2
sibling	early_stage	medium_sized	2
sibling	FPV	live_streaming	2
ancestor	mavic_pro	higher_end	2
ancestor	video_streaming	video_feeds	2
sibling	BBC	financial_times	2
sibling	RC	quad_copter	2
ancestor	emerging_technologies	virtual_reality	2
sibling	autonomous_cars	automatic_braking	2
sibling	common_criteria	DISA	2
sibling	FIPS	AES	2
sibling	law_enforcement	emergency_response	2
sibling	drone_brood	multiple_infestation	2
sibling	SAR	UAV	2
ancestor	maintenance_alerts	sensor_data	2
ancestor	simplest_tasks	route_reconnaissance	2
ancestor	portable_storage	hard_drives	2
sibling	centerstate_ceo	nuair_alliance	2
sibling	SDA	SCL	2
ancestor	united_states	law_enforcement	2
ancestor	international_security	border_security	2
ancestor	airspace_management	sense_and_avoid	2
sibling	LIDAR	satellite_images	2
sibling	CNN	financial_times	2
sibling	financial_times	foreign_policy	2
ancestor	public_entities	law_enforcement_agencies	2
sibling	ground_based	UAV	2
ancestor	image_analysis	anomaly_detection	2
ancestor	GPS	GNSS	2
sibling	FATA	NWFP	2
sibling	data_gathering	image_acquisition	2
ancestor	UC	3rd_party	2
sibling	video_surveillance	search_and_rescue	2
sibling	DOC	ADS	2
sibling	straight_leg_raise	knee_extension	2
sibling	data_acquisition	control_system	2
sibling	nuair_alliance	empire_state_development	2
sibling	GMTI	SAR	2
ancestor	civil_applications	environmental_monitoring	2
sibling	regulatory_compliance	risk_analysis	2
ancestor	commercial_usage	regulatory_compliance	2
sibling	military_zones	search_and_rescue	2
ancestor	VM	memory_usage	2
ancestor	multiple_flight_modes	pilot_mode	2
sibling	ISO	exposure_compensation	2
ancestor	intelligent_flight_mode	return_to_home	2
sibling	MDSU	ADS	2
ancestor	syracuse_university	NASA	2
sibling	drone_deliveries	video_surveillance	2
sibling	data_processing	analytics_service	2
ancestor	air_traffic_control	airspace_managers	2
sibling	real_estate	search_and_rescue	2
sibling	DEM	orthomosaic_image	2
sibling	inspecting_cell_towers	wind_turbines	2
sibling	pilot_mode	selfie_mode	2
ancestor	UAS	unmanned_aircrafts	2
ancestor	uas_operators	private_sector_stakeholders	2
sibling	counter_terrorism	counter_insurgency	2
ancestor	border_patrol	government_entities	2
sibling	SAMs	radar_detection	2
sibling	government_institution	mining_companies	2
ancestor	UAVs	small_uavs	2
sibling	border_security	public_safety	2
sibling	magma_chamber	magma_ascent	2
sibling	anomaly_detection	NDVI	2
sibling	XHTML	XML	2
sibling	CNN	foreign_policy	2
ancestor	FAA	industry_partners	2
ancestor	private_sector	UN	2
sibling	drone_deliveries	infrastructure_monitoring	2
sibling	remote_sensing	field_test	2
sibling	fpv_camera	gimbal_control	2
sibling	pre_authorization	public_disclosure	2
ancestor	nuair_alliance	NASA	2
sibling	IPTV	OTT	2
sibling	UAV	CAS	2
ancestor	powerful_brands	bell_helicopter	2
sibling	TTL	CMOS	2
ancestor	ground_truth	leaf_area_index	2
ancestor	electromagnetic_interference	frequency_disruptions	2
sibling	traffic_management	bridge_inspection	2
sibling	search_and_rescue	precision_agriculture	2
ancestor	small_drones	montgomery_county	2
sibling	vehicle_tracking	route_reconnaissance	2
sibling	low_intensity_conflicts	urban_warfare	2
ancestor	shooting_style	camera_settings	2
ancestor	crew_members	visual_observers	2
sibling	operating_system	model_number	2
sibling	emergency_response	geospatial_information_systems	2
sibling	infrastructure_inspections	search_and_rescue	2
sibling	water_supply	public_health	2
sibling	CT	COIN	2
sibling	drone_deliveries	precision_agriculture	2
sibling	BBC	foreign_policy	2
sibling	NO2	SO2	2
ancestor	military_equipment	fighter_aircraft	2
sibling	driver_assistance	security_surveillance	2
ancestor	cell_reselection	neighbor_cell	2
sibling	UAS	SUAS	2
sibling	control_laws	develop_math	2
sibling	deep_learning	neural_networks	2
sibling	total_stations	GNSS	2
sibling	uas_operations	UAV	2
sibling	civil_rights	civil_liberties	2
ancestor	portable_computing_devices	smart_phones	2
ancestor	north_dakota	UAS	2
ancestor	jsf_libraries	oracle_adf	2
sibling	multi_spectral_cameras	stereo_cameras	2
sibling	coastal_surveillance	port_security	2
sibling	shutter_speed	exposure_compensation	2
sibling	autonomous_systems	machine_vision	1
sibling	supervising_controller	MVVM	1
sibling	industry_insiders	UAV	1
sibling	architectural_software	home_design	1
sibling	construction_site_monitoring	aerial_surveying	1
sibling	counterinsurgency_operations	hunter_killer	1
sibling	stack_traces	default_attributes	1
ancestor	ROS	sensor_data	1
sibling	air_force	army_intelligence	1
ancestor	android_studio	developer_tools	1
sibling	ieee_xplore	acm_digital_library	1
sibling	industry_leaders	forward_thinking	1
ancestor	business_development	professional_services	1
sibling	web_ui	API	1
ancestor	confidential_information	credit_card_numbers	1
