RELATION	LEFTTERM	RIGHTTERM	COUNT
synonym	federal_aviation_administration	FAA	1017
synonym	astrophysics_data_system	ADS	964
synonym	nasa_technical_reports_server	NTRS	523
synonym	unmanned_aerial_vehicles	UAVs	479
synonym	unmanned_aircraft_systems	UAS	406
synonym	unmanned_aerial_vehicle	UAV	367
synonym	return_to_home	RTH	248
synonym	designated_pilot_examiner	DPE	195
synonym	airman_certification_representative	ACR	195
synonym	certificated_flight_instructor	CFI	195
synonym	unmanned_aerial_vehicles	UAV	194
synonym	airmen_knowledge_test_report	AKTR	193
synonym	unmanned_aerial_systems	UAS	183
synonym	first_person_view	FPV	162
synonym	national_airspace_system	NAS	159
synonym	global_positioning_system	GPS	145
synonym	ready_to_fly	RTF	144
synonym	dtx_media	dallas_texas	141
synonym	electronic_news_gathering	ENG	141
sibling	mid_range	high_end	132
ancestor	blade_guards	safety_measures	132
sibling	smartphone_app	remote_control	132
sibling	flight_battery	remote_controller	123
synonym	unmanned_aircraft_system	UAS	110
synonym	ground_control_station	GCS	96
synonym	traffic_management	UTM	83
synonym	air_traffic_control	ATC	78
synonym	small_unmanned_aircraft_systems	UAS	77
synonym	ground_control_stations	GCS	68
synonym	UAV	unmanned_aerial_vehicle	62
synonym	unmanned_traffic_management	UTM	59
synonym	unmanned_vehicle_systems_international	AUVSI	57
synonym	unmanned_aerial_system	UAS	50
synonym	internet_of_things	IoT	49
synonym	beyond_visual_line_of_sight	BVLOS	46
synonym	department_of_defense	DoD	41
synonym	department_of_transportation	CONTINUED	41
synonym	artificial_intelligence	AI	40
synonym	synthetic_aperture_radar	SAR	40
synonym	uas_traffic_management	UTM	39
synonym	initializing_weblogic_scripting_tool	WLST	39
synonym	ground_control_points	GCPs	37
synonym	international_civil_aviation_organization	ICAO	37
synonym	portable_ground_control_station	GCS	33
synonym	certificate_of_authorization	COA	31
synonym	structure_from_motion	SfM	31
synonym	visual_line_of_sight	VLOS	30
sibling	interview_question	oracle_fusion_middleware	29
ancestor	development_team	social_media	29
synonym	agentless_exception_monitoring	AEM	28
synonym	remotely_piloted_aircraft	RPA	28
synonym	real_time_strategy	RTS	28
synonym	above_ground_level	AGL	27
synonym	optionally_piloted_aircraft	OPA	27
synonym	FAA	federal_aviation_administration	27
synonym	standard_ground_control_station	GCS	27
synonym	department_of_transportation	DOT	26
synonym	of_foreign_assets_control	OFAC	25
synonym	export_administration_regulations	EAR	25
synonym	arms_export_control_act	AECA	25
synonym	commercial_drone_unmanned_aerial_systems	UAS	25
synonym	homeland_security	DHS	24
synonym	federal_aviation_agency	FAA	23
synonym	UAVs	unmanned_aerial_vehicles	23
synonym	unmanned_air_vehicles	UAVs	22
synonym	remotely_piloted_aircraft_systems	RPAS	22
synonym	short_message_service	SMS	21
synonym	air_traffic_management	ATM	20
synonym	radio_frequency	RF	20
synonym	european_aviation_safety_agency	EASA	19
synonym	small_unmanned_aerial_systems	UAS	19
synonym	particle_swarm_optimization	PSO	19
synonym	defense_advanced_research_projects_agency	DARPA	18
synonym	intelligent_transportation_systems	ITS	18
synonym	unmanned_ground_vehicles	UGVs	18
synonym	inertial_navigation_system	INS	17
synonym	unmanned_air_vehicle	UAV	17
synonym	FPV	first_person_view	17
synonym	field_operational_test	FOT	16
synonym	department_of_defense	DOD	16
synonym	small_unmanned_aerial_vehicles	UAVs	16
synonym	weblogic_scripting_tool	WLST	15
synonym	beyond_line_of_sight	BLOS	15
synonym	aviation_environmental_design_tool	AEDT	15
synonym	unmanned_aircraft	UA	15
synonym	national_airspace	NAS	15
synonym	civil_aviation_authority	CAA	15
synonym	global_navigation_satellite_system	GNSS	15
synonym	request_for_information	RFI	15
synonym	notification_capability	LAANC	15
synonym	united_states	US	14
synonym	small_unmanned_aerial_vehicle	UAV	13
synonym	digital_elevation_models	DEMs	13
synonym	electro_optical	EO	13
synonym	unmanned_aerial_systems	UASs	13
synonym	digital_surface_models	DSMs	13
synonym	commercial_off_the_shelf	COTS	13
synonym	service_oriented_architecture	SOA	13
synonym	air_traffic_management_research_institute	ATMRI	13
synonym	national_transportation_safety_board	NTSB	13
synonym	medium_altitude_long_endurance	MALE	12
synonym	digital_surface_model	DSM	12
synonym	remote_pilot_stations	RPS	12
synonym	micro_air_vehicles	MAVs	12
synonym	detect_and_avoid	DAA	12
synonym	general_accounting_office	GAO	12
synonym	no_fly_zones	NFZ	12
synonym	humanitarian_uav_network	UAViators	12
synonym	UAS	unmanned_aircraft_system	12
synonym	unmanned_aircraft_systems	UASs	12
synonym	temporary_flight_restrictions	TFRs	12
synonym	graphical_user_interface	GUI	12
synonym	high_dpi_displays	FIX	11
synonym	federal_aviation_authority	FAA	11
synonym	border_protection	CBP	11
synonym	of_naval_research	ONR	11
synonym	integrated_noise_model	INM	11
synonym	geographic_information_systems	GIS	11
synonym	kennedy_space_center	KSC	11
synonym	technical_reports_server	NTRS	11
synonym	longwave_infrared	LWIR	11
synonym	general_aviation	GA	11
synonym	lightning_imaging_sensor	LIS	11
synonym	small_unmanned_aircraft_system	UAS	11
synonym	line_of_sight	LOS	11
synonym	UAS	unmanned_aerial_systems	11
synonym	civil_aviation	DGCA	11
synonym	aviation_rulemaking_committee	ARC	10
synonym	remotely_piloted_aircraft_system	RPAS	10
synonym	robot_operating_system	ROS	10
synonym	civil_aviation_safety_authority	CASA	10
synonym	autonomous_systems	NIAS	10
synonym	congressional_research_service	CRS	10
synonym	root_mean_square_error	RMSE	10
synonym	inertial_measurement_unit	IMU	10
synonym	terrestrial_laser_scanning	TLS	10
synonym	digital_surface_models	DSM	10
synonym	uninhabited_aerial_vehicle	UAV	10
ancestor	public_safety	disaster_response	10
synonym	ground_control_points	GCP	10
synonym	american_civil_liberties_union	ACLU	9
synonym	small_uas	unmanned_aerial_system	9
synonym	proposed_rulemaking	NPRM	9
synonym	uninhabited_aerial_vehicles	UAVs	9
synonym	digital_terrain_model	DTM	9
synonym	digital_elevation_model	DEM	9
synonym	european_union	EU	9
synonym	geostationary_lightning_mapper	GLM	9
sibling	geo_fencing	low_battery	9
synonym	lightning_protection_system	LPS	9
synonym	picture_in_picture	PIP	9
sibling	variable_speed_control	low_battery	9
sibling	dynamic_return_home	low_battery	9
synonym	ground_sample_distance	GSD	9
synonym	small_unmanned_aircraft_systems	SUAS	9
sibling	variable_speed_control	dynamic_return_home	9
synonym	information_technology	IT	9
synonym	joint_special_operations_command	JSOC	9
sibling	geo_fencing	variable_speed_control	9
sibling	geo_fencing	dynamic_return_home	9
synonym	international_space_station	ISS	9
synonym	of_inspector_general	OIG	8
synonym	aviation_safety_reporting_system	ASRS	8
synonym	ground_data_terminal	GDT	8
synonym	remote_pilot	UAS	8
synonym	and_energy	faa_aee	8
